,NB,KNN,Tree,SVM
0,0.9839,0.9839,0.9839,0.9839
1,0.9839,0.9839,0.9839,0.9839
2,0.9839,0.9839,0.9839,0.9839
3,0.9839,0.9839,0.9839,0.9839
4,0.9839,0.9839,0.9839,0.9839
