,NB,KNN,Tree,SVM,Ensemble
1,0.9677,0.9839,1.0,1.0,0.9839
2,0.9677,0.9677,0.9516,0.9839,0.9677
3,0.9677,0.9839,0.9355,0.9839,0.9677
4,0.9677,0.9677,0.9677,0.9839,0.9677
5,0.9677,0.9516,0.9677,0.9677,0.9677
