,NB,KNN,Tree,SVM
0,0.873,0.9206,0.9683,0.8095
1,0.9841,1.0,1.0,1.0
2,1.0,1.0,0.9841,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
