,NB,KNN,Tree,SVM
0,0.9902,0.9902,0.9902,0.9902
1,1.0,1.0,1.0,1.0
2,1.0,0.9902,0.9902,0.9902
3,0.9902,0.9902,1.0,0.9902
4,0.9804,0.9804,0.9902,0.9902
