,NB,KNN,Tree,SVM,Ensemble
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,0.9902,1.0,1.0
4,1.0,0.9902,1.0,0.9804,1.0
5,0.9804,0.9804,0.9706,0.9804,0.9804
