,NB,KNN,Tree,SVM
0,0.9683,0.9683,0.9048,0.8095
1,0.9683,1.0,0.9841,0.9365
2,1.0,1.0,1.0,1.0
3,1.0,1.0,0.9841,1.0
4,1.0,1.0,1.0,1.0
