,NB,KNN,Tree,SVM,Ensemble
1,0.9265,0.9485,0.9559,0.9559,0.9632
2,0.9412,0.9412,0.9338,0.9265,0.9706
3,0.8897,0.9485,0.9485,0.9338,0.9485
4,0.8897,0.9559,0.9485,0.9044,0.9485
5,0.8309,0.9559,0.9559,0.9044,0.9412
