,NB,KNN,Tree,SVM
0,0.9677,0.9677,0.9677,0.9839
1,0.9677,0.9677,0.9677,0.9677
2,0.9677,0.9516,0.9677,0.9516
3,0.9516,0.9516,0.9677,0.9516
4,0.9516,0.9516,0.9516,0.9516
