,NB,KNN,Tree,SVM,Ensemble
1,0.9902,0.9902,1.0,0.9902,0.9902
2,0.9902,0.9902,0.9902,0.9902,0.9902
3,0.9804,0.9902,0.9804,0.9902,0.9804
4,0.9804,0.9804,0.9804,0.9804,0.9804
5,0.9804,0.9804,0.9902,0.9804,0.9804
