,NB,KNN,Tree,SVM,Ensemble
1,0.9677,0.9839,0.9839,0.9839,0.9677
2,0.9677,0.9677,0.9677,0.9839,0.9677
3,0.9677,0.9677,0.9516,0.9677,0.9516
4,0.9516,0.9355,0.9677,0.9677,0.9516
5,0.9516,0.9355,0.9677,0.9677,0.9516
