,NB,KNN,Tree,SVM
0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0
2,1.0,0.9861,1.0,1.0
3,1.0,0.9861,1.0,0.9861
4,1.0,0.9722,1.0,0.9861
