,NB,KNN,Tree,SVM,Ensemble
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,0.9655,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
